Flux_name,LC,Lat,lon,flux_site
US-Tw2,CRO,38.1047,-121.6433,US-Tw2
US-Tw3,CRO,38.1159,-121.6467,US-Tw3
US-Tw4,WET,38.103,-121.6414,US-Tw4
US-Twt,CRO,38.1087,-121.653,US-Twt
US-UMB,DBF,45.5598,-84.7138,US-UMB
US-UMd,DBF,45.5625,-84.6975,US-UMd
US-Var,GRA,38.4133,-120.9507,US-Var
US-WCr,DBF,45.8059,-90.0799,US-WCr
US-Whs,OSH,31.7438,-110.0522,US-Whs
US-Wi0,ENF,46.6188,-91.0814,US-Wi0
US-Wi3,DBF,46.6347,-91.0987,US-Wi3
US-Wi4,ENF,46.7393,-91.1663,US-Wi4
US-Wi6,OSH,46.6249,-91.2982,US-Wi6
US-Wi9,ENF,46.6188,-91.0814,US-Wi9
US-Wkg,GRA,31.7365,-109.9419,US-Wkg
ZM-Mon,DBF,-15.4378,23.2528,ZM-Mon
AU-ASM,ENF,-22.283,133.249,AU-ASM
AU-TTE,OSH,-22.287,133.64,AU-TTE
AU-Wom,EBF,-37.4222,144.0944,AU-Wom
BR-Sa1,EBF,-2.8567,-54.9589,BR-Sa1
CA-Gro,MF,48.2167,-82.1556,CA-Gro
CA-Oas,DBF,53.6289,-106.1978,CA-Oas
CA-Obs,ENF,53.9872,-105.1178,CA-Obs
CA-TP1,ENF,42.6609,-80.5595,CA-TP1
CA-TP2,ENF,42.7744,-80.4588,CA-TP2
CA-TP3,ENF,42.7068,-80.3483,CA-TP3
CA-TP4,ENF,42.7102,-80.3574,CA-TP4
CA-TPD,DBF,42.6353,-80.5577,CA-TPD
CG-Tch,SAV,-4.2892,11.6564,CG-Tch
CN-Du3,GRA,42.0551,116.2809,CN-Du3
CZ-BK1,ENF,49.5021,18.5369,CZ-BK1
CZ-BK2,GRA,49.4944,18.5429,CZ-BK2
DE-Lnf,DBF,51.3282,10.3678,DE-Lnf
DE-Zrk,WET,53.8759,12.889,DE-Zrk
DK-Eng,GRA,55.6905,12.1918,DK-Eng
ES-Amo,OSH,36.8336,-2.2523,ES-Amo
ES-LJu,OSH,36.9266,-2.7521,ES-LJu
FI-Let,ENF,60.6418,23.9595,FI-Let
FR-Gri,CRO,48.8442,1.9519,FR-Gri
GH-Ank,EBF,5.2685,-2.6942,GH-Ank
MY-PSO,EBF,2.973,102.3062,MY-PSO
NL-Loo,ENF,52.1666,5.7436,NL-Loo
PA-SPn,DBF,9.3181,-79.6346,PA-SPn
PA-SPs,GRA,9.3138,-79.6314,PA-SPs
US-Atq,WET,70.4696,-157.4089,US-Atq
